query_tag	total_hits	pages_fetched	entries_seen	kept	stop_reason	query
triangular-nqs		3	103	103	3 sub-queries complete	cat:cond-mat.str-el AND abs:"triangular" AND (abs:"neural network" OR abs:"variational Monte Carlo" OR abs:"tensor network")
kagome-energy		3	250	250	3 sub-queries complete	cat:cond-mat.str-el AND abs:"kagome" AND (abs:"ground-state energy" OR abs:"ground state energy" OR abs:"DMRG")
pyrochlore-gs		2	172	172	2 sub-queries complete	cat:cond-mat.str-el AND abs:"pyrochlore" AND (abs:"ground state" OR abs:"variational")
hubbard-nqs		3	91	91	3 sub-queries complete	cat:cond-mat.str-el AND abs:"Hubbard" AND (abs:"neural network quantum state" OR abs:"neural quantum state" OR abs:"backflow")
hubbard-stripe		3	24	24	3 sub-queries complete	cat:cond-mat.str-el AND abs:"Hubbard" AND abs:"stripe" AND (abs:"AFQMC" OR abs:"DMRG" OR abs:"variational")
nqs-benchmark		10	1286	1286	6 sub-queries complete	(abs:"neural quantum state" OR abs:"neural-network quantum state") AND (abs:"benchmark" OR abs:"state-of-the-art" OR abs:"lowest variational energy")
vscore		10	1965	1965	PAGE CAP 8 BOUND on 1 sub-queries - TRUNCATED	all:"V-score" OR all:"variational benchmark"
heis-square		1	45	45	1 sub-queries complete	cat:cond-mat.str-el AND abs:"Heisenberg" AND abs:"square lattice" AND abs:"variational"
tV-spinless		2	28	28	2 sub-queries complete	cat:cond-mat.str-el AND abs:"spinless fermions" AND (abs:"variational" OR abs:"DMRG")
tfim		2	177	177	2 sub-queries complete	cat:cond-mat.str-el AND abs:"transverse field Ising" AND (abs:"variational" OR abs:"neural")
shastry		2	10	10	2 sub-queries complete	cat:cond-mat.str-el AND (abs:"Shastry-Sutherland" OR abs:"shuriken") AND abs:"variational"
minsr-opt		13	2126	2126	PAGE CAP 8 BOUND on 1 sub-queries - TRUNCATED	abs:"stochastic reconfiguration" OR abs:"minimum-step" OR abs:"MinSR" OR abs:"SPRING optimizer"
tV-model		8	280	280	8 sub-queries complete	cat:cond-mat.str-el AND (abs:"t-V model" OR abs:"extended Hubbard") AND (abs:"ground-state energy" OR abs:"ground state energy" OR abs:"DMRG" OR abs:"variational")
tV-cdw		3	77	77	3 sub-queries complete	cat:cond-mat.str-el AND abs:"spinless fermions" AND (abs:"charge density wave" OR abs:"nearest-neighbor interaction" OR abs:"nearest neighbour repulsion")
impurity-solver		15	354	354	15 sub-queries complete	(abs:"Anderson impurity" OR abs:"impurity solver" OR abs:"quantum impurity") AND (abs:"ground-state energy" OR abs:"DMRG" OR abs:"tensor network" OR abs:"matrix product" OR abs:"neural")
impurity-bath		3	183	183	3 sub-queries complete	abs:"fork tensor product" OR abs:"bath discretization" OR abs:"bath discretisation" OR (abs:"dynamical mean-field" AND abs:"multi-orbital" AND abs:"benchmark")
tfising-bench		10	830	830	10 sub-queries complete	cat:cond-mat.str-el AND (abs:"transverse-field Ising" OR abs:"transverse field Ising") AND (abs:"ground-state energy" OR abs:"ground state energy" OR abs:"benchmark" OR abs:"tensor network" OR abs:"quantum Monte Carlo")
ising-2d-var		9	276	276	9 sub-queries complete	(abs:"2D Ising" OR abs:"two-dimensional Ising" OR abs:"square-lattice Ising") AND (abs:"variational" OR abs:"neural network" OR abs:"PEPS")
pyrochlore-heis		12	176	176	12 sub-queries complete	abs:"pyrochlore" AND (abs:"Heisenberg" OR abs:"spin liquid" OR abs:"spin ice") AND (abs:"energy" OR abs:"DMRG" OR abs:"tensor network" OR abs:"Monte Carlo")
shuriken-lat		4	257	257	4 sub-queries complete	abs:"shuriken" OR abs:"square-kagome" OR abs:"squagome" OR abs:"square kagome"
nqs-any		21	4021	4021	PAGE CAP 8 BOUND on 2 sub-queries - TRUNCATED	abs:"neural network quantum state" OR abs:"neural quantum states" OR abs:"neural-network wave function" OR abs:"neural network wavefunction"
